Cell ID,Volume [m^3],XC,YC,Resources,
1171,29.3286,1.16172,38.1049,3007.62690908505,1170
1339,27.6764,3.55195,30.8241,2570.67896581668,1338
1088,25.2519,-3.41452,33.0209,2119.07097916614,1087
1225,24.8999,-8.26901,32.3217,1843.85389353733,1224
913,26.7519,-7.58323,27.228,1783.2464667853,912
534,22.3532,-2.76899,28.0943,1704.59015554676,533
880,31.0223,-2.89251,12.7696,1602.71006921202,879
1305,28.1188,-12.5048,25.6528,1587.93103274195,1304
1258,20.3336,4.05651,20.9607,1539.65914201033,1257
562,23.9576,1.82504,14.944,1486.46406486028,561
1389,22.1972,-0.254322,19.3016,1458.05887969287,1388
675,23.5804,-17.5282,34.1307,1456.88035228577,674
1381,18.2429,2.26797,24.9257,1451.31587390804,1380
902,25.7834,-4.85224,17.7363,1445.83572473218,901
1345,23.0116,5.03651,11.2352,1409.79660428256,1344
1144,19.4517,-1.87139,23.5938,1363.45561710539,1143
1342,22.0949,-14.7261,30.136,1323.99106165669,1341
410,25.4636,-21.5691,31.4662,1316.26262579677,409
7,14.078,0.712885,33.8909,1313.79996588121,
412,25.1271,-10.6824,20.8241,1307.72104374357,
457,21.3183,-6.19342,22.4678,1306.14635299116,
573,29.4836,-14.8825,17.8899,1245.96574837722,
1106,23.6458,-25.2179,34.9963,1218.26441427577,
1192,28.2805,-11.085,14.0129,1192.20186387134,
1276,25.9549,-7.45187,10.2416,1089.51120269278,
1146,21.618,-0.915948,8.11007,1035.03233695327,
416,24.4962,-32.3449,35.2336,1031.42312933532,
1041,23.5282,-18.3984,21.7835,1005.88026555952,
686,19.7187,-18.5602,27.7313,998.816334480234,
606,22.9496,-28.6981,31.8275,973.485024475643,
957,22.5488,-25.2505,28.3797,956.477860438008,
1138,29.2491,-40.0282,35.0946,952.51858845472,
835,20.0021,-21.9779,24.978,845.091325275,
1341,24.5241,-25.3371,21.836,839.244450030042,
1283,24.5586,-35.85,31.8591,826.410564918577,
509,23.2078,-28.8482,25.3641,794.660728875039,
91,9.09725,0.817567,28.1675,753.096047180031,
594,13.8795,4.67084,6.23902,737.813079470054,
803,16.1698,2.25163,3.20633,735.819097449636,
473,29.0293,-43.3784,31.0104,715.089030239232,
1235,20.7228,-13.5941,9.87125,703.793165485721,
1147,20.3185,-32.1158,28.7944,699.602141834003,
1240,20.3648,-18.7433,15.1541,694.810636366623,
1148,17.2215,-4.87292,6.29474,692.705087722537,
70,10.139,-11.9609,32.3689,688.54744546496,
961,22.0522,-10.6399,4.31356,683.520380365121,
524,24.663,-28.2327,18.0508,662.230032709254,
1390,18.8804,-21.6568,18.7322,658.907624329749,
1270,19.4983,-5.84407,0.842378,633.462157677306,
1232,23.8567,-10.231,-0.499749,627.081971315662,
446,23.8535,-38.9725,28.171,625.268551960704,
1206,21.9008,-14.9998,5.33601,599.880186729955,
1302,18.8819,-17.6788,10.8497,574.732598181658,
95,11.4983,-8.66637,17.1592,571.37801729764,
743,23.2604,-32.8455,20.1324,565.041290594533,
1377,27.5162,-14.8916,-2.13381,556.573959685526,
877,13.3453,-2.54319,3.10337,522.305164760209,
361,18.8458,-35.0658,25.5918,519.951980237608,
56,10.2252,-16.2672,24.669,506.803187398177,
901,22.2508,-21.2067,6.24428,492.306500198507,
1073,21.2056,-26.0754,11.7111,481.188974827092,
874,16.8946,-24.3014,15.5947,479.836344911866,
9,8.8853,2.52858,8.71364,476.64505820682,
839,23.6878,-41.5758,24.1826,471.331934152919,
586,22.1603,-30.3542,13.8626,458.943019719508,
1229,26.4221,-28.0768,7.4034,451.259840254571,
1054,17.1316,-21.8802,10.6845,442.179769941713,
771,19.8509,-37.3165,21.9492,431.679400272449,
609,22.4452,-34.7575,15.9483,418.702907071857,
1287,20.5946,-20.1265,1.47276,386.951580227622,
794,22.6497,-39.2524,17.9516,375.175266190318,
1223,23.0295,-24.6335,1.04464,339.780853127357,
623,20.3575,-32.3605,9.85811,317.589457917091,
110,8.01367,-0.09168,1.04388,317.580098082778,
58,8.91662,-10.4531,8.05546,316.757693010675,
714,24.8592,-41.2447,13.6905,294.957673912203,
923,21.2539,-36.6317,11.8397,294.246486575296,
518,26.4074,-29.5693,0.445668,285.425854550448,
706,24.8072,-34.4414,5.74985,275.224185272401,
68,9.57905,-31.9374,23.4901,274.716777713448,
46,7.90891,-7.23374,4.07744,273.852417315255,
98,12.0911,-16.4374,1.80785,271.319391119047,
8,5.7158,-0.263834,4.96521,254.300146559249,
36,12.2881,-24.7554,5.09033,220.233017357428,
19,8.23647,-17.9706,7.20985,216.245286258208,
72,6.14014,-21.6558,13.838,180.256752921092,
1394,16.7709,-38.4934,8.03533,166.852568520679,
479,21.5471,-34.3429,-0.912528,154.120401438504,
148,11.8183,-30.5631,4.27172,150.695798306161,
1330,16.9068,-41.4737,5.59124,115.325660926025,
434,18.4098,-39.7215,1.84863,107.166833578189,
17,11.0804,-36.0744,2.44228,89.1680359654023,
629,18.1636,-38.726,-2.23046,80.4339744535849,
